# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)

Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false


How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false


How to apply a patch on KDE2, which is running onto FreeBSD?;Use later version of KDE%true|Use jedi force%false;Use woodoo magic%false|Use separate install qt2 with manual in-place compile of KDE2. If God loves you - it will succeed%false
Is it correct to play in HoMM as an ork?;Correct%true|I don't know%false|Are you kidding?%false
Answer to the Ultimate Question of Life, the Universe, and Everything?;





